UniqueCount	AmbigCount
0	37
1	7
51	2140
99	282
65	2851
146	3610
0	129
18	1761
9	559
1	31
85	0
1	0
0	4921
80	402
2	2130
19	0
1	0
12	498
0	0
15	197
1	16755
1	0
0	3
0	69
0	1697
0	1
0	0
18	131
0	0
0	569
0	2
0	0
0	449
0	86
22	371
0	0
8	2970
0	1234
52	781
0	531
0	0
8	257
23	404
0	1999
661	0
0	482
0	16
8	133
0	140
45	0
0	0
0	0
107	222
0	8
0	3
2	25
0	2529
0	9
0	2
0	0
5416	0
5	176
172	3583
0	3
0	0
0	4
0	813
4	552
1	9
6	849
3	18
32	592
0	25
0	1269
0	0
62	0
2	110
0	118
20	329
0	73
56	0
0	1
3	2365
210	1373
1537	1931
1498	0
1499	141
0	0
0	0
979	0
0	0
271	902
213	4150
0	732
0	253
0	0
33	1174
306	987
0	194
0	740
958	2712
1	3
0	0
0	967
30	323
3	1952
71	881
0	644
0	1
0	7521
1889	0
0	3
0	0
0	7
0	0
58	14
0	0
10	0
0	1638
0	761
29	992
838	0
0	6
10	1064
0	1125
0	764
143	1356
100	254
0	0
0	15568
148	1348
40	355
1	14
0	5
0	6
9	3035
11	282
1666	0
72	172
626	582
4	812
1081	0
0	999
0	6
4	1144
0	2
11	221
0	67
3098	0
0	0
0	754
460	450
768	2059
1013	0
0	0
0	5
0	0
0	0
0	9081
0	2073
10	1444
212	2085
0	7814
12	2
0	1499
5454	0
49	2332
0	0
0	0
2	12
0	7
4	4469
11	2015
0	1702
424	894
0	0
11	8
5258	0
0	643
142	0
0	3
0	0
0	500
0	0
6	3
1	3135
0	85
8	5
4	0
0	0
0	1341
151	41
0	1890
1	8
30	0
0	126
955	0
0	122
1015	248
18	0
24	106
1	2
0	5
1	480
0	544
0	0
269	2631
0	0
0	1067
0	185
58	0
0	0
6	13
1473	2
0	0
0	3133
81	2611
0	2
292	0
0	256
6	2
6	229
0	0
1	7
0	1913
0	2962
0	2
0	4
0	399
0	1718
0	0
6	4618
1	336
1	63
1	4930
283	1946
0	0
0	0
2	0
0	1422
0	24
0	0
152	1111
70	939
0	780
0	0
1	0
10	3247
2	1480
478	8471
4623	0
18	1738
0	420
0	23
1	3258
0	55
0	2707
0	0
0	158
40	682
328	1775
0	641
0	1
0	4084
59	901
634	0
0	782
12	790
0	3118
7	0
9498	0
83	952
5	1604
247	740
0	0
0	1207
22	605
0	0
0	0
0	0
0	0
233	3593
163	935
0	1008
46	1133
0	0
0	0
0	774
0	278
66	4529
43	2191
0	0
86	1943
466	2021
1	2
0	44
1395	0
3	816
0	1809
114	1374
95	1045
0	1
2	0
51	327
0	1
24	0
0	416
0	1
2	0
0	0
1	497
9	726
80	0
0	201
0	2
0	0
0	0
0	1
0	0
0	0
4	18
0	8
8	4174
4	587
817	0
0	1
2	1
13	0
0	329
0	48
3	1
0	0
17	71
0	7959
54	0
34	0
0	0
292	0
2903	0
27	0
0	0
0	17466
2	489
3	1684
0	1108
0	1
5	5
3	0
0	0
0	2175
169	2412
0	1368
7	357
0	35
0	180
0	6
0	640
0	4201
0	3545
4	2
0	0
5369	0
612	0
0	0
496	4583
0	739
1718	0
1	46
5	192
1	1
0	8
77	0
16	0
617	6637
1	25
0	2055
15	3368
0	1251
20	1177
134	2104
357	994
0	0
0	234
38	2089
0	0
0	30
1	1714
0	0
0	32
182	5126
0	3
137	1430
0	3
0	312
14	212
0	8
954	450
90	0
0	0
0	0
0	88
0	17
0	0
29	368
55	0
288	3876
5	603
0	0
0	2
3365	0
58	1536
69	879
1	407
2	125
0	4
1	25
2	16
4	6
0	206
0	28
14	1630
2	2
0	1155
0	32
23	2505
0	0
25	10
0	0
0	23
7706	0
213	1949
15	345
0	6
0	5
0	1
0	39
1	287
0	2307
0	0
11	981
1	1903
221	291
52	0
80	778
15	0
12	128
1116	0
0	173
0	64
0	0
0	0
0	13225
1964	1540
0	0
18	600
0	0
0	2425
0	0
0	0
1	0
0	1
2	0
0	3202
0	2
0	0
0	0
3	112
0	0
0	1
1	0
0	478
0	23
3	642
0	3
0	12
0	0
1	7
0	0
0	16
0	273
0	0
0	82
1	0
614	22807
0	15
0	0
0	0
0	2631
810	2422
185	0
347	653
0	0
58	255
0	0
0	2044
188	2470
0	6
24	5
2	2
1	4013
0	22
0	1423
0	1104
0	1
0	0
385	0
0	0
0	21
0	0
0	9
0	452
64	1464
0	2
0	3694
0	1
0	3234
0	0
0	0
364	2003
14	0
209	1108
4	3
0	7
0	0
8	15
0	0
0	2
0	138
0	0
0	3
5	863
0	0
0	0
0	0
0	1
0	7
0	2
429	2427
6	0
0	0
0	0
0	10
0	0
2365	3901
0	1
0	0
12	0
0	21
0	0
1	0
1	0
0	0
0	0
1	2
199	576
1	0
0	5
0	0
1031	1475
4	17
697	0
0	2
0	15
28	4
66	31
0	0
1	0
0	0
2	0
6	41
0	1134
217	2449
32	404
15	0
0	12
0	990
1	6
0	1239
0	2
0	0
0	21
0	3
49	0
13	0
144	0
0	16
0	1164
815	1
7	2100
0	0
0	10
357	45
0	0
0	270
0	3510
390	2330
2	0
0	0
1	0
24	65
92	2130
0	2130
0	2110
1	2074
0	2
0	4
8	45
1300	1371
7341	44329
17	137
0	208
0	108
0	865
0	0
0	0
0	0
0	1
4866	0
0	0
0	0
0	66
0	141
113	561
0	2
3	0
31	53
1	1
6	0
31	0
568	0
43	0
3	106
0	0
0	9310
0	1745
12	0
332	1437
0	36
88	1303
59	415
0	50
210	3039
0	0
0	56
0	1
193	2012
0	22416
2	2
7	0
1	0
22	0
3	0
307	1620
12	0
164	1520
1331	0
473	1404
0	0
0	0
0	0
7	55
0	211
0	34
0	1
0	1198
2	270
0	127
0	301
0	435
1	0
626	0
0	1
5	0
1	0
1	0
0	4
460	355
0	3
0	0
0	0
2	102
15	0
0	2
0	196
3	65
931	722
0	386
440	3
0	11
0	0
0	26
0	4
209	2187
0	1198
0	0
0	228
0	0
0	0
0	9
5	2
1	0
0	0
0	0
0	0
1	1
2	6
0	0
0	0
4	3
41	0
0	15
11	84
0	33
0	0
0	0
0	0
0	1
0	2
8	37
4	28
45	0
470	3936
0	0
1339	0
120	193
0	3
189	10228
0	0
0	5
30	0
0	5
0	0
18	0
2	0
0	0
0	2
944	6087
0	33
0	2
0	0
1	0
0	0
0	3
0	0
3	27
0	0
0	0
9	45
0	0
0	15
13	62
0	1
9	238
0	5
0	8846
588	0
3	1210
0	0
0	411
8	3
0	0
0	0
0	84
0	15
0	6
5	0
0	1
0	13
0	3
0	12
3	371
136	3512
0	6
3	4
0	22
0	0
19	5
0	0
0	16
0	0
0	3
299	469
535	1146
0	131
0	0
11345	0
0	0
0	0
4	230
4	269
0	658
169	3453
0	3817
0	259
0	9
0	0
0	0
146	2
0	0
0	1
1	4
0	0
0	17
0	0
131	0
4	91
17	45
0	674
0	3130
2975	3
8	86
0	33
0	2
0	0
18	146
1	2041
4	9702
602	61
0	26
0	1
0	1
1	30
49	0
0	3
0	0
0	1
1	4354
0	3
13	59
74	900
0	1
13	358
0	231
54	176
7	958
7	0
1	39
0	71
0	3
0	2
9	0
0	3
1	61
0	26
0	0
0	61
140	2134
948	17101
0	4560
12	654
0	63
0	423
0	27
6	156
36	3158
0	5
2	800
1	0
0	0
37	386
0	720
0	472
0	0
0	4151
0	0
6974	0
256	4774
7	34
0	0
1232	0
9102	3
1038	0
0	1955
2899	0
1598	0
172	1172
0	0
0	5
1	642
0	31
0	43
0	0
0	0
18	0
32	0
13	3
1	15
1	7
161	6
0	13
36	0
5	615
0	104
6	181
22946	44183
89863	0
24767	29475
1912	46737
6046	31016
59544	0
9114	71016
4703	28738
25875	532
3382	45380
26461	11
18843	20409
35511	0
5638	37328
15116	263
18981	0
39694	3
1673	16502
35297	13
11055	17495
13461	15794
12089	0
24583	2
9702	13233
15504	21313
6688	14609
7571	16825
2	8894
2768	12303
15777	0
20219	0
7456	3102
20840	4
3467	4
0	1306
0	2
2	0
0	2633
0	0
0	8181
1770	229
0	1
3	1558
0	0
0	12
0	0
2	2586
0	1140
0	1133
27	1220
1	763
0	0
0	0
3	2103
1837	0
1	0
4	1
0	10
0	6
10	156
0	45
0	187
3	4646
52	4636
0	0
0	0
0	0
0	4479
26	1236
0	0
0	1024
0	110
0	0
4	1049
6	733
0	1222
0	3514
0	3833
0	3742
0	99
322	96
0	3678
39	2079
6	48
0	0
28	0
0	9
0	17
8	1684
0	1882
4	39
0	0
12	1969
0	519
95	1
0	1476
176	4117
9	510
5	458
1	433
0	470
0	464
1	446
1	467
1	464
0	431
1	363
1	432
0	436
0	439
0	361
0	475
0	485
0	480
0	449
0	441
22	1868
8	562
0	0
0	0
2	0
0	0
137	594
156	0
0	121
0	0
61	723
1	56
0	0
0	0
24	180
0	210
0	0
54	546
0	0
0	0
0	0
125	201
0	1
9	1410
0	0
0	0
0	0
1	0
17	861
8	107
0	0
0	2
0	0
0	1173
0	0
1	8
937	980
8	0
4	76
866	0
0	0
0	0
0	0
0	0
0	0
2	50
3300	0
0	259
0	0
0	0
0	0
6	2
0	714
13	59
0	6057
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	751
0	750
0	879
0	527
0	92
30	11144
0	148
14	12444
0	2
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	73
0	6261
2	1590
143	1449
0	1352
0	465
0	2790
1	2763
0	1595
0	2543
0	3956
4578	60906
0	1511
0	1506
0	1550
0	0
73	1023
98	998
40	297
5	166
10	788
12	788
0	2871
0	2
687	1891
1	107
0	2084
6	6171
9	3264
24	3869
0	6
0	0
0	0
0	0
0	0
0	0
16	986
28	509
157	1806
357	2116
282	1733
256	2298
24	2119
144	2446
175	1431
0	0
9	1
10	853
57	5295
0	339
0	629
0	759
0	26
0	661
29	442
0	3
0	3
0	2
1	2477
0	0
0	956
13	2198
187	912
2	588
0	0
42	475
0	0
117	1047
0	129
4	9527
0	7
61	1634
0	1120
11	1073
258	1575
1	225
0	302
0	7
0	362
0	265
101	4847
2	4828
0	778
1	619
0	420
0	1741
0	1705
0	1672
37	663
0	50
0	0
0	0
0	0
2	2597
0	0
0	1
63	217
0	239
