UniqueCount	AmbigCount
0	11
1	5
70	2580
102	294
42	3439
156	4182
0	126
15	1761
16	635
1	43
132	0
1	3
0	6464
90	583
2	2561
9	0
0	0
20	637
0	0
12	196
3	17972
2	0
0	4
0	96
0	1843
0	4
0	0
17	120
0	0
0	795
0	3
0	0
0	494
0	100
17	469
0	0
4	3727
0	1573
41	790
0	565
0	0
6	228
32	495
0	2320
823	3
0	296
0	36
0	133
0	107
44	0
0	0
0	2
138	304
0	6
0	6
0	53
0	3040
0	7
1	3
0	0
7003	1
6	281
167	4324
0	2
0	0
0	4
0	854
3	759
0	7
6	860
5	30
47	754
1	27
0	1466
1	0
34	0
0	90
0	137
15	351
0	100
42	0
0	1
1	2520
262	1592
1730	1970
1987	0
1546	128
2	0
0	0
898	0
0	8
347	1316
242	5202
0	1015
0	300
0	0
45	1413
342	1166
0	201
0	884
1138	3421
2	12
0	0
0	957
40	374
2	2477
89	957
0	815
0	4
3	9769
1731	0
0	0
1	0
0	8
0	4
86	29
0	0
11	0
1	1915
0	970
44	1306
689	0
0	6
13	1288
0	1201
0	1124
154	1553
152	347
0	0
0	19172
110	1321
50	518
0	11
0	3
0	8
33	2546
22	246
1951	0
94	257
956	850
3	881
1307	0
0	1143
0	5
3	1303
0	3
10	300
0	72
2343	0
0	0
0	1045
516	466
604	1821
1190	0
0	0
0	3
0	0
0	0
0	10170
0	2289
6	1475
250	2244
0	8515
9	5
0	1311
6058	0
50	2978
0	0
1	0
0	8
0	5
4	4827
12	2351
0	1998
516	1111
0	1
17	12
6441	0
0	838
139	0
0	19
0	0
0	486
0	0
10	0
0	3793
0	86
1	3
4	0
0	0
0	1061
239	34
0	1573
1	10
27	0
0	141
909	0
0	151
878	160
12	0
18	136
0	2
0	1
4	582
0	442
0	0
295	3222
0	0
0	1062
0	115
62	0
0	1
9	89
1680	0
0	0
0	4067
126	2875
0	0
305	0
0	276
1	2
17	320
0	0
1	19
0	2262
0	2825
0	0
0	7
0	498
0	2398
1	0
14	5391
0	425
7	69
0	5080
351	2216
1	0
0	1
6	0
0	1417
0	34
0	0
166	1014
40	942
0	809
0	0
2	1
11	3169
1	1540
576	11128
5465	0
17	1429
0	592
0	17
1	3850
0	66
0	3059
0	0
0	256
32	924
344	2469
0	631
0	6
0	4851
98	1398
656	0
0	747
1	859
0	3520
6	0
10991	0
70	1017
3	2031
357	945
0	1
0	1370
4	877
0	0
0	1
0	1
0	0
130	2727
194	1029
0	816
67	1131
0	0
0	0
0	728
0	334
54	4179
39	2066
0	3
75	1394
523	2522
1	3
0	43
1997	0
3	1199
0	1913
105	1604
112	1510
0	0
1	0
61	370
0	0
43	0
0	513
0	0
3	0
0	0
3	524
8	839
67	0
0	214
0	1
0	0
0	1
0	0
0	0
0	1
8	13
0	5
14	5336
12	811
779	0
0	2
0	5
24	0
0	475
0	80
8	0
0	0
12	78
0	8544
32	0
72	0
0	0
245	0
1737	0
38	0
0	0
0	21131
6	667
0	2104
0	1259
0	2
6	6
0	0
1	0
1	2725
164	3017
0	2076
8	408
0	31
1	206
0	11
1	801
2	5109
0	3874
1	3
0	0
5863	0
821	0
0	0
593	5495
0	895
1537	0
0	52
3	250
0	0
0	11
79	0
21	0
631	7504
1	35
0	2147
10	2965
0	1608
21	1392
107	1787
349	1064
0	0
0	323
39	2527
0	0
0	39
1	2087
0	0
4	34
218	6178
0	4
150	1477
0	8
0	359
20	181
1	14
1411	674
74	0
0	0
0	0
0	66
0	29
0	0
18	348
67	0
286	4783
11	772
0	0
0	1
2951	0
42	1265
123	1533
4	537
3	159
0	5
0	38
2	19
9	4
0	184
0	25
6	1931
1	2
0	985
0	22
6	2916
0	0
35	15
0	0
0	24
10274	0
165	2320
17	386
0	15
0	2
0	0
0	29
0	303
0	2571
0	0
17	1134
1	2226
260	293
48	0
127	1155
26	0
12	166
1717	0
0	160
0	92
0	0
0	1
0	10676
2403	1929
0	0
8	606
0	1
0	2697
0	1
0	0
0	0
0	5
7	0
0	3109
0	9
0	0
0	0
2	113
0	0
0	1
1	0
0	444
1	19
0	687
0	1
0	20
0	0
1	4
0	0
0	22
0	266
0	0
5	136
1	0
767	28364
0	13
0	0
0	0
0	2444
706	2514
258	0
344	716
0	0
75	238
0	0
0	1370
184	2426
0	3
29	7
3	14
0	4275
0	24
0	1745
0	1337
0	1
1	0
568	0
1	0
0	32
0	0
0	15
0	389
53	1341
0	0
0	5250
0	0
0	4013
0	0
0	1
457	2605
14	0
244	1432
9	6
0	12
0	2
3	13
0	0
0	0
0	188
0	0
0	5
7	580
0	0
0	0
0	0
0	0
1	6
0	3
304	1974
26	0
0	0
0	3
0	19
0	0
3285	5220
0	3
0	0
33	2
0	13
0	0
0	0
0	0
0	0
0	0
0	5
232	644
3	0
0	10
0	0
790	1433
0	21
1097	0
0	0
0	11
42	5
87	36
0	0
0	3
0	0
1	0
6	51
0	403
231	2443
44	375
29	0
0	11
0	1169
3	8
0	1358
0	4
0	0
0	23
1	3
62	0
8	0
126	0
0	8
0	978
841	1
10	2194
0	6
0	3
326	61
0	0
0	272
0	4072
405	2661
1	0
0	0
1	0
16	39
90	2559
1	2561
0	2543
2	2514
0	3
1	1
8	61
1012	1161
14000	81182
19	145
0	307
0	133
0	949
0	0
0	0
0	0
0	1
5882	0
0	0
0	0
0	73
0	116
129	480
0	5
7	0
37	52
3	2
8	0
22	0
681	0
42	0
0	97
0	0
0	9523
0	2133
37	0
373	1465
0	44
131	1569
89	465
0	81
278	3698
0	0
0	81
0	0
161	1509
0	18807
1	1
3	0
0	0
29	1
2	0
362	1761
13	0
178	1836
2211	0
448	1642
0	0
0	0
0	1
9	101
0	213
0	39
0	3
0	1087
0	332
0	186
0	417
0	438
0	0
1160	0
5	6
2	0
1	0
0	0
0	8
45	38
0	3
0	0
0	0
4	117
16	0
0	1
0	281
0	42
789	625
0	374
587	7
